id,count
0,91.4475
1,253.41
2,105.74
4,33.3
5,136.9333333333333
10,123.445
11,245.685
12,378.245
15,46.22
17,186.265
18,298.54
23,242.855
25,140.23
26,45.34
31,195.265
39,128.03
40,29.31
41,212.99
42,395.14
43,137.53
51,174.82
52,101.62
54,17.51
60,124.43
61,149.655
62,100.45375
63,25.29
65,86.085
66,122.96
68,188.415
71,99.325
80,32.555
82,67.775
94,138.53
98,245.78
101,39.355
102,162.34
107,158.92
112,260.705
113,99.19
115,57.735
116,110.035
120,162.24
121,49.44
122,320.925
132,207.84099999999998
143,104.02
147,58.735
150,15.815
151,92.645
152,198.32
153,97.44
155,195.1
156,149.415
159,156.275
161,124.685
163,44.33
177,151.285
186,18.335
188,16.885
190,104.855
191,89.5
192,279.275
195,305.355
200,137.37
209,318.84
210,16.39
211,221.89
214,228.04333333333332
215,26.47
218,106.57
219,30.015
222,177.585
225,16.9
228,313.615
236,169.92
241,39.795
242,236.465
243,151.125
245,15.923333333333332
247,250.495
251,172.245
252,76.0525
253,85.95
254,92.275
258,305.18
260,49.305
261,143.27
265,85.9
266,280.855
267,327.535
269,166.6
270,61.715
275,97.915
278,45.185
279,96.52
286,105.21
287,27.56
288,238.665
289,138.13
293,18.695
294,181.65
297,45.065
302,128.2225
303,94.7325
304,113.32
307,102.06125
309,16.538333333333334
311,155.48
312,146.11
314,199.47
315,177.185
319,137.41916666666668
322,109.865
323,54.805
325,148.04
327,240.44
330,45.94
332,177.255
333,16.507
338,99.235
341,104.62
345,218.505
348,123.555
349,43.73
350,124.64
352,55.195
355,19.958333333333336
356,180.265
358,59.775
363,146.88
369,129.28
371,18.83
372,142.545
375,296.135
380,140.115
388,32.305
391,145.23
392,276.115
393,368.265
394,228.98
396,27.97
401,38.94
407,95.39
409,97.78
410,127.0425
416,128.1
418,125.585
420,151.13
421,210.795
422,136.645
424,292.88
428,372.385
429,244.805
431,220.83333333333331
435,20.773333333333333
439,110.365
441,18.715
447,84.12
449,213.675
451,173.73
452,15.785333333333334
454,208.675
458,242.775
463,143.225
467,15.417
470,278.245
471,143.8675
474,289.11
478,13.695
483,125.125
484,175.625
485,97.44
486,139.565
491,101.55625
494,91.635
495,252.83
497,220.6783333333333
499,234.83
515,136.26
518,205.115
521,220.46
525,149.7
529,257.02
532,135.56
534,87.79
540,82.3
544,313.025
547,141.2
549,33.1
563,45.95
564,151.03
567,129.345
572,134.17
577,147.63
578,244.09
585,383.355
588,208.115
589,144.395
590,100.72
592,16.575
594,297.02
596,17.51
598,399.0
599,121.945
605,34.11
606,128.355
607,278.23
608,202.96275000000003
609,51.695
610,290.505
611,221.305
614,200.27
615,199.06
616,246.77
617,154.225
618,247.11
624,126.17
629,148.2
631,86.525
633,91.4475
637,27.755
638,101.88
643,73.595
644,136.71
645,44.25
646,211.49666666666667
648,163.14
650,37.41
651,229.865
652,282.0
656,136.84
657,15.185
659,105.01
660,242.945
662,100.7
665,343.645
675,327.165
681,138.685
682,236.06
685,17.166666666666668
686,147.58
689,26.28
696,148.66
703,146.26
704,102.0
705,190.0
714,243.87
717,107.265
718,13.695
720,60.695
721,221.14
723,216.49
726,224.12
728,151.895
730,235.705
731,27.785
734,340.02
737,93.475
738,16.355
745,253.87
746,27.785
749,233.145
752,26.08
753,195.085
758,227.195
765,17.805
766,226.705
768,92.645
769,181.67
774,175.715
775,89.115
781,66.37
784,335.465
794,15.49
795,289.07
796,83.34
802,218.35
803,230.6
805,43.73
806,288.18
807,98.64
809,15.51
810,208.03
812,230.5
814,125.645
818,254.84
819,146.8
825,62.775
836,128.395
839,163.07
847,275.39
848,231.62
851,147.4
852,132.345
853,33.615
857,174.695
858,43.115
859,247.465
861,31.395
867,105.425
870,249.99
871,199.95
872,213.675
874,372.93
881,142.01
886,130.065
890,57.84
895,140.775
899,85.95
900,280.72
901,250.105
902,202.27
903,45.925
913,249.975
918,166.62
923,187.06258333333332
924,47.85
926,27.16
927,19.855
930,218.9
934,28.18
937,139.285
939,208.025
941,91.555
942,401.87
946,291.48
950,100.91
953,89.3
959,78.01
961,23.445
962,81.98
964,72.76
969,213.45
971,113.78
976,46.945
978,251.525
980,256.345
981,199.81
990,382.36
993,16.48
996,16.58
998,341.93
999,204.295
1006,103.09
1008,17.575
1013,25.545
1015,106.93339285714286
1016,139.81
1022,321.355
1026,219.015
1028,230.945
1031,96.945
1034,49.305
1037,188.415
1040,61.715
1042,17.145
1046,15.185
1048,110.04125
1049,106.295
1050,58.96
1051,187.905
1052,237.955
1055,230.23
1060,127.505
1064,26.08
1066,69.29
1071,106.13
1073,15.475
1089,155.48
1091,132.335
1092,59.15
1093,247.455
1096,331.08
1097,231.415
1098,18.26
1099,43.05
1102,205.535
1107,104.51
1109,46.035
1111,199.41
1112,111.08
1114,299.145
1116,290.195
1117,142.585
1118,105.27
1122,180.115
1124,143.935
1127,125.555
1133,253.615
1134,45.34
1135,219.12
1139,309.13
1143,66.475
1150,128.88
1151,91.865
1153,289.26
1155,27.9
1162,23.095
1163,187.48
1166,21.465
1171,81.605
1172,16.349
1173,225.38
1174,94.7325
1177,107.21
1178,216.12
1184,225.125
1185,102.16875
1186,126.655
1187,182.04
1188,278.965
1191,143.04
1207,101.05
1213,43.15
1215,136.35
1223,259.37
1227,101.42
1236,67.745
1237,57.18
1238,20.03
1241,25.315
1248,13.435
1250,44.66
1251,136.25
1253,120.34
1255,108.165
1257,259.37
1261,125.555
1262,366.495
1265,172.5
1273,150.66
1277,282.365
1278,139.655
1280,128.935
1284,237.145
1285,339.27
1288,34.11
1295,96.8925
1297,400.255
1299,231.385
1304,145.87
1308,45.95
1310,102.79
1311,145.065
1314,99.19
1315,100.38
1318,44.25
1320,337.705
1321,294.645
1322,245.73
1330,115.51
1333,144.655
1334,224.755
1341,174.04
1344,181.125
1351,247.065
1354,98.665
